Distance	Factor 1	Factor 2	Factor 3
1.35	1.5457	0.8955	0.84434
1.67	1.3116	0.17339	1.5
1.89	1.2154	0.26082	1.655
1.66	1.1348	1.0851	0.38118
0.48	1.3184	1.8853	0.77484
0.32	0.8673	0.98072	0.46524
0.76	1.0104	2.1002	0.95568
1.12	1.37	1.3005	0.051007
0.1	1.3792	1.1812	
0.6	0.77924	1.29	0.97501
0.84	0.9741	1.6407	0.81568
1.36	0.91174	0.7348	2.1127
0.44	2.0002		1.5144
0.02	0.82501	0.89236	1.3242
0.11	0.66464	0.9499	1.5683
0.76	1.2121	0.33913	0.43672
0.95	1.994	0.20979	1.5064
1.12	2.0978	0.04658	1.2573
1.21	0.85594	1.1411	0.47657
0.84	1.1359	0.99417	0.72194
0.53	0.64085	1.0594	0.97257
0.3	0.30408	1.1539	1.2861
0	0.88638	1.7419	0.28405
0.15	0.39499	0.96917	0.99731
1.11	0.64905	0.92285	0.75843
1.12	1.2824	1.3163	0.092383
0.99	0.30286	2.1725	1.9376
1.05	0.81816	1.3231	1.4864
1.16	0.91841	1.3263	1.2185
0.34	1.8488	1.0588	0.99497
1.27	2.0547	0.090201	1.4694
1.21	1.3842	0.42899	0.99227
0.14	0.48907	0.70226	1.2665
0	0.41111	2.9898	
0	0.31224	0.89661	1.5437
0	0.65289	1.6229	1.2638
0	0.35614	0.83311	1.6536
0	0.19885	1.062	1.9443
1.43	1.15	0.51488	1.2908
0.19	0.60406	0.88298	1.5662
0	0.66514	1.2007	0.85594
0.01	0.25757	1.0654	0.7852
0.48	0.69147	1.2938	1.3746
0.15	0.6073	1.1863	0.94425
2	1.3612	0.88824	0.70042
2.1	0.97791	1.0382	0.57885
